kata_tidak_baku,kata_baku
olaragamembut,olahraga membuat
coneksi,koneksi
aplikainya,aplikasinya
bsnya,bisanya
blg,bilang
plg,paling
jembut,rambut kemaluan
membantubyk,membantu banyak
kerta,kereta
busjalan,bus jalan
jelekini,jelek ini
dihadrikan,dihadirkan
ds,desa
somber,sumber
butong,tidak terdeteksi
tenjuy,tidak terdeteksi
kemajuany,kemajuannya
tadiny,tadinya
skg,sekarang
mis,tidak terdeteksi
scoter,skuter
available,tersedia
wkwkwk,tertawa
mesih,masih
mines,minus
toping,puncak
jlanya,jalannya
angat,sangat
topks,tidak terdeteksi
mamtep,mantap
ngarahno,mengarahkan
marai,membuat
teresat,tersesat
naon,apa
ora,tidak
ramadhan,ramadan
oksiap,oke siap
biliard,biliar
inimasih,ini masih
dreammungkin,mimpi mungkin
terbarusemoga,terbaru semoga
kalulintas,lalu lintas
warahmatulahi,warahmatullahi
akuratmohon,akurat mohon
perbaharuitks,perbarui terima kasih
sengat,sangat
file,berkas
costumer,pelanggan
discrol,gulir
dinaikan,dinaikkan
payahtidak,payah tidak
duludulu,dulu-dulu
dsuruh,disuruh
asalamu,assalamu
ustadzsafat,ustaz safat
parahmasa,parah masa
jggk,juga
sekalk,sekali
jib,wajib
sukak,suka
mengambar,menggambar
betujajar,batujajar
sbagai,sebagai
paint,lukis
bal,bola
bkln,bakalan
setlah,setelah
jalantitik,jalan titik
ksana,ke sana
kmari,ke mari
sh,sih
jelasktika,jelas ketika
nymap,mengepeta
ktujuan,ke tujuan
ksulitan,kesulitan
ergetakan,pergerakan
spedy,cepat
means,berarti
enjoy,menikmati
delicious,lezat
prefer,lebih suka
comfortable,nyaman
evening,malam
kuran,kurang
jink,anjing
bangettolong,banget tolong
kotaperkampungan,kota perkampungan
masbro,mas bro
yuy,ya
apain,apakan
yuju,tuju
kada,kadang
manakadang,mana kadang
daf,daftar
strategisdan,strategis dan
sekalisukses,sekali sukses
depanyatrims,depannya terima kasih
mbuh,tidak tahu
dark,gelap
automatis,otomatis
disemua,di semua
san,sana
berinterner,berinternet
serlokan,berbagi lokasi
nangis,menangis
tl,timeline
bangsad,bangsat
dpakai,dipakai
dikuti,diikuti
komplekgang,kompleks gang
lgsg,langsung
erordi,eror di
mapsgmn,peta bagaimana
erorstaf,eror staf
perwautan,perawatan
masge,pesan
bosen,bosan
updtae,perbarui
hilangtolong,hilang tolong
tololmaps,tolol peta
nypayah,nya payah
jauhinga,jauh tidak
apaapan,apa-apaan
istiqomah,istikamah
yari,cari
ajng,anjing
lagih,lagi
kuarang,kurang
gerakgerak,gerak-gerak
pekoksalah,bodoh salah
cashles,nontunai
fodcourt,pusat jajanan
kendalakadang,kendala kadang
kadangngal,kadang ngal
sekaliapknya,sekali aplikasinya
salahterlalu,salah terlalu
kroscek,pemeriksaan silang
borzo,tidak terdeteksi
membambatu,membantu
donglot,unduh
vuv,tidak terdeteksi
hgv,tidak terdeteksi
jvj,tidak terdeteksi
cks,cek
alamatkhususnya,alamat khususnya
usha,usaha
syayang,sayang
gogleyoutubefacebokinstagram,google youtube facebook instagram
snackdan,camilan dan
atmamadu,atma madu
penuhtolong,penuh tolong
problem,masalah
makai,memakai
saluler,seluler
daratlaut,darat laut
gordenya,gordennya
asesoris,aksesori
laporin,laporkan
diapain,diapakan
gimanah,bagaimana
yagugel,ya google
ksel,kesal
syeh,syekh
rtrtegalsari,rt rw tegalsari
wetan,timur
mantabakurat,mantap akurat
jelasgk,jelas tidak
pemberhentiankurang,pemberhentian kurang
akurasibagus,akurasi bagus
sajasignal,saja sinyal
stabilklo,stabil kalau
pulagmna,pula bagaimana
kade,awas
nyilakakeun,mencelakakan
batur,orang lain
tina,dari
gunakeun,gunakan
pangabisa,keahlian
jeung,dan
kapercayaan,kepercayaan
bisi,takut
neungar,menabrak
apes,sial
cares,peduli
tris,terima kasih
lgih,lagi
gwa,saya
dperbaharui,diperbarui
oks,oke
angrek,anggrek
hap,tangkap
loga,tidak terdeteksi
ololo,tidak terdeteksi
oel,tidak terdeteksi
olo,tidak terdeteksi
omolomol,tidak terdeteksi
capital,modal
hsa,tidak terdeteksi
useles,tidak berguna
jauhmakin,jauh makin
benr,benar
mapsudh,peta sudah
ush,usaha
bikinmalh,bikin malah
ruetmaps,ruwet peta
matp,mantap
brmutuakurasi,bermutu akurasi
trusudh,terus sudah
akuratbikin,akurat bikin
trbaik,terbaik
nay,tidak
ajagimana,saja bagaimana
goglenya,google-nya
sempurnayg,sempurna yang
lh,lah
tujuterima,tuju terima
mapsyou,peta kamu
bitanglima,bintang lima
mlemcengnya,melencengnya
membantusaya,membantu saya
kurng,kurang
mambantu,membantu
bauk,bau
mapssangatsangat,peta sangat-sangat
derver,pengemudi
pebaiki,perbaiki
ktepatan,ketepatan
keakuratanya,keakuratannya
hs,hasil
los,lepas
fts,tidak terdeteksi
nahan,menahan
mso,tidak terdeteksi
eid,idul
base,dasar
own,sendiri
checkin,masuk
hearts,hati
malemnya,malamnya
terkahir,terakhir
tulisanya,tulisannya
pncarian,pencarian
trbarupoko,terbaru pokok
trimaksih,terima kasih
apelikasi,aplikasi
baiklihat,baik lihat
stlh,setelah
pedesandusun,pedesaan dusun
sal,salah
sieyes,si ya
nyaranin,menyarankan
belak,belakang
aohd,tidak terdeteksi
nyagk,nya tidak
arahpdhal,arah padahal
sengah,setengah
msih,masih
libuh,tidak terdeteksi
singah,singgah
mape,peta
maximal,maksimal
bgi,bagi
terhubungeror,terhubung eror
kendaranwis,kendaraan wis
alternative,alternatif
seorg,seorang
selrang,sekarang
sekrng,sekarang
nempatin,menempatkan
huhu,sedih
syfa,syifa
smoga,semoga
shf,tidak terdeteksi
chanel,kanal
senamg,senang
macetsekarang,macet sekarang
akuratmacet,akurat macet
cwk,cewek
untukmengetahui,untuk mengetahui
yogya,yogyakarta
waw,wah
inibagus,ini bagus
wong,orang
menjalan,menjalani
mulupetunjuk,melulu petunjuk
yamasih,ya masih
bayak,banyak
perbaikipecatin,perbaiki pecati
bagusmap,bagus peta
pancen,memang
josbs,bagus
menyelesaikam,menyelesaikan
bermalsalah,bermasalah
semuah,semua
satbkita,saat kita
perakat,perangkat
nyar,nyaris
dimotor,di motor
didiemin,didiamkan
disebrang,di seberang
ptunjuk,petunjuk
sinyaltolong,sinyal tolong
salahsalah,salah-salah
kuwalitas,kualitas
memantu,membantu
belokin,belokkan
kuranga,kurang
rekom,rekomendasi
kulitasnya,kualitasnya
aprove,setuju
musingin,memusingkan
display,tampilan
tiknya,titiknya
inigimana,ini bagaimana
ancor,hancur
thebest,terbaik
achmad,ahmad
sistemreport,sistem laporan
smg,semoga
butah,butuh
filter,saring
updatekarena,perbarui karena
lalumohon,lalu mohon
nyauntuk,nya untuk
tingalpihak,tinggal pihak
mantabs,mantap
diseting,disetel
operate,operasikan
ngx,ngaco
aplikasimasa,aplikasi masa
jauhdi,jauh di
ngacotolong,ngaco tolong
dongtolong,dong tolong
responyasudah,responsnya sudah
kecelakantolong,kecelakaan tolong
sebelahterimakasih,sebelah terima kasih
almtnya,alamatnya
mebelusuri,menelusuri
ngantor,bekerja di kantor
bergerakhampir,bergerak hampir
perjln,perjalanan
explorenya,eksplorasinya
mks,terima kasih
sekai,sekali
muhamad,muhammad
satuinta,satu minta
terimakasihsaya,terima kasih saya
dimanakebanyakan,dimana kebanyakan
pujan,pujian
hilanq,hilang
lolot,lambat
krg,kurang
terkinci,terkunci
terburuburu,terburu-buru
oo,oh
setres,stres
impresed,terkesan
provided,menyediakan
sprinkler,penyiram
both,keduanya
eficient,efisien
durable,tahan lama
ensuring,memastikan
garden,kebun
receives,menerima
water,air
coverage,cakupan
pindahpindah,pindah-pindah
folowing,mengikuti
folower,pengikut
sj,saja
tulul,tolol
memlih,memilih
lokasisudsh,lokasi sudah
postingtapi,unggah tapi
gahu,tahu
pep,tidak terdeteksi
bavus,bagus
barberbroer,barber bro
udeh,sudah
sinting,gila
guatel,gatal
iki,ini
njiot,ambil
ngango,pakai
mubeng,berputar
dst,dan seterusnya
afgret,perbarui
bigung,bingung
mapssdh,peta sudah
yo,ya
caray,caranya
hy,hai
cvg,tidak terdeteksi
nuju,menuju
gmana,bagaimana
kuyu,tidak terdeteksi
gy,tidak terdeteksi
mogaberkahpanjangumur,moga berkah panjang umur
peraturanya,peraturannya
trukdengan,truk dengan
tujutetapi,tuju tetapi
mapsyang,peta yang
pribadikenapa,pribadi kenapa
jalurnyasebab,jalurnya sebab
akhirini,akhir ini
angkot,angkutan kota
biasaswastanonmikrotrans,biasa swasta nonmikrotrans
also,juga
faeil,gagal
jug,juga
sdbelakang,sd belakang
sekakilabuh,sekali labuh
timurada,timur ada
barangtrimakasih,barang terima kasih
vhvhbhbv,tidak terdeteksi
sgnal,sinyal
jalanketik,jalan ketik
trucks,truk
large,besar
cars,mobil
thatso,jadi
dont,jangan
mistake,salah
private,pribadi
regular,reguler
lane,jalur
there,ada
prohibitions,larangan
pased,lewati
duluh,dahulu
upgret,perbarui
menajupkan,menakjubkan
tamhab,tambah
ngegrab,narik ojek
sm,sama
pending,tertunda
slama,selama
liatnya,lihatnya
membant,membantu
drive,mengemudi
adres,alamat
losdol,bebas
dlsbnya,dan lain sebagainya
maptanpa,peta tanpa
andabanyak,anda banyak
bague,bagus
mengarahkanku,mengarahkan aku
stw,setengah tua
pesbuk,facebook
nene,nenek
demoy,lucu
lokasiudah,lokasi sudah
dipostingtapi,diunggah tapi
ngeliatin,melihat
menmbuka,membuka
imel,email
hilanh,hilang
memperhambat,menghambat
lai,lain
enda,tidak
penyebx,penyebabnya
dabra,tidak terdeteksi
aktuf,aktif
bintangnyalagi,bintangnya lagi
bintanggk,bintang tidak
pesawahan,persawahan
dilaluimakin,dilalui makin
begok,bodoh
uptimal,optimal
updateasu,perbarui bajingan
custamer,pelanggan
cepatterima,cepat terima
kasihtolong,kasih tolong
sistemnyasama,sistemnya sama
jordo,tidak terdeteksi
casimo,tidak terdeteksi
mapsa,peta
jaranya,jaraknya
belibet,belit
dimasukin,dimasukkan
worth,layak
ero,eror
bermasalh,bermasalah
perhatiakn,perhatikan
bagen,biarin
ngacobikin,ngaco bikin
perjelaskan,perjelas
tenteng,tentang
semkin,semakin
ajip,mantap
lw,lu
lenot,lambat
bagusramah,bagus ramah
lamamakin,lama makin
kuarng,kurang
wwxcom,tidak terdeteksi
bek,kembali
nan,yang
syh,saya
dioktimalkn,dioptimalkan
updatetiap,perbarui tiap
tkw,tenaga kerja wanita
malaysis,malaysia
opsionel,opsional
mgrtahui,mengetahui
pantura,pantai utara
rekomeded,direkomendasikan
bujanglah,bujang lah
menjengkrlkan,menjengkelkan
putarnga,putarnya
tergangumembuat,terganggu membuat
membatal,membatalkan
mapskenpa,maps kenapa
auka,suka
aplikasin,aplikasi
maching,matching
burukga,buruk kah
fuldi,full di
burukblm,buruk belum
bngtsebelum,banget sebelum
buruktiba,buruk tiba
lahblm,lah belum
ilangdi,hilang di
lemotmlh,lemot malah
jlnbikin,jalan bikin
bngrt,banget
okdeh,oke deh
senaknya,seenaknya
image,gambar
menyenangakan,menyenangkan
suitable,cocok
wearing,memakai
walking,berjalan
agarberotahukan,agar beritahukan
padaendekati,pada mendekati
akir,akhir
lemotbikin,lemot bikin
perjalanansemoga,perjalanan semoga
baiktrm,baik terima kasih
haribosen,hari bosan
lambatbikin,lambat bikin
mapjadi,map jadi
ole,oleh
auto,otomatis
babik,babi
terkdang,terkadang
nyasab,nyasar
akuray,akurat
tempst,tempat
wheres,di mana
delate,hapus
ubdate,update
munculhilang,muncul hilang
dimanaperbaiki,di mana perbaiki
apansetiap,apaan setiap
mapsy,maps-nya
perbedan,perbedaan
hbs,habis
aslisetelah,asli setelah
sherlokasi,share lokasi
jauhtidak,jauh tidak
pentunjuk,petunjuk
sorum,showroom
onlinekasi,online lokasi
silver,perak
gold,emas
payment,pembayaran
physical,fisik
kuitan,kuitansi
loe,kamu
comen,komen
ranting,rating
rendahterus,rendah terus
tujuantapi,tujuan tapi
adataunya,ada taunya
banyakkeren,banyak keren
pokokny,pokoknya
gosen,go-send
putarputar,putar-putar
keasal,ke asal
nerat,berat
berati,berarti
perjalann,perjalanan
yamohon,ya mohon
nyarinya,mencarinya
membagokan,membagongkan
nafigasi,navigasi
loncatnga,loncatnya
wargamalah,warga malah
lagitolong,lagi tolong
handle,menangani
care,peduli
masage,pijat
bangke,bangkai
josmembantu,jos membantu
medetiksi,mendeteksi
kerjokra,kerja kah
muterrupanya,berputar rupanya
akuratmengingat,akurat mengingat
hncrmkin,hancur makin
lambatkenapa,lambat kenapa
berkalbrasi,berkalibrasi
pengelolan,pengelolaan
dengna,dengan
kecilgang,gang kecil
ngikutmalah,mengikuti malah
dpn,depan
tsbitu,tersebut itu
akes,akses
maluin,memalukan
membanti,membantu
padhl,padahal
sakow,salah
nyabahkan,nya bahkan
thxs,terima kasih
cepatjln,cepat jalan
sinkronise,sinkronisasi
fin,akhir
couch,pelatih
linkungan,lingkungan
menghargaibyg,menghargai yang
frenly,ramah
setalah,setelah
ngomongin,membicarakan
manteng,panteng
membantucuma,membantu cuma
sambungin,sambungkan
nyesatin,menyesatkan
apik,bagus
douwloade,download
crita,cerita
forest,hutan
crosing,persimpangan
bridge,jembatan
told,dikatakan
turn,belok
left,kiri
kiding,bercanda
dead,mati
keblowok,terperosok
kekuranganya,kekurangannya
ngeleknya,lag-nya
bangakan,banggakan
pengupgradetan,pembaruan
gapeka,tidak peka
madih,masih
focus,fokus
ngambang,mengambang
desisuci,desi suci
hutantempat,hutan tempat
kuburanrumah,kuburan rumah
yosh,siap
adminya,adminnya
semogake,semoga ke
kasik,kasih
slah,salah
memebatu,membantu
gendala,kendala
petunjung,petunjuk
leding,loading
berharihari,berhari-hari
kmnya,kilometer-nya
rudet,rumit
menyulit,menyulitkan
wlaupun,walaupun
ubdet,update
arak,jarak
mudahkan,memudahkan
terkendalitop,terkendali top
centre,pusat
safety,keamanan
stack,stuck
goglemapnya,google maps-nya
operacional,operasional
metah,mentah
going,pergi
far,jauh
driving,mengemudi
jajal,coba
tanahkacau,tanah kacau
kecepit,terjepit
kecapean,kelelahan
mongo,mangga
sinten,siapa
mawon,saja
bagusmasa,bagus masa
mapselalu,map selalu
oderan,orderan
mayanlah,lumayan
perkilonya,per kilometer
anakjalan,anak jalan
penganguran,pengangguran
parahdn,parah dan
bgini,begini
updatetp,update tapi
tempatga,tempat tidak
lalugimana,lalu bagaimana
alamin,alami
dubupdate,di-update
mapsnyakadang,maps-nya kadang
muluterimakasi,mulu terima kasih
rtrw,rt rw
thun,tahun
taikj,tahi
sifa,sifat
sprt,seperti
membantuuntuk,membantu untuk
initrimakasigogle,ini terima kasih google
sekqli,sekali
memuaskanfasilitasnya,memuaskan fasilitasnya
knph,kenapa
ditepi,di tepi
oksat,oke satu
lokasilokasi,lokasi-lokasi
maintence,maintenance
performent,performance
drivermana,driver mana
request,permintaan
ngingetin,mengingatkan
pengertianya,pengertiannya
toplah,mantaplah
apliaksi,aplikasi
fery,feri
bulanya,bulannya
sumorai,samurai
bangethasilnya,banget hasilnya
oktimal,optimal
muluterus,mulu terus
perna,pernah
sasar,nyasar
viuew,view
bergunadan,berguna dan
menujukan,menunjukkan
akuratmantaf,akurat mantap
seterah,terserah
mbuka,membuka
pera,peta
bertanga,bertanya
motorkonyol,motor konyol
syibal,shibal
karan,karena
tipi,tv
berkerja,bekerja
syuka,suka
puluhmata,puluh mata
jelastolong,jelas tolong
bukamnya,bukannya
poxyxnx,posisinya
benarklo,benar kalau
cave,gua
karoke,karaoke
ahahaha,tertawa
umatanusia,umat manusia
vanila,vanilla
goegel,google
mepnya,map-nya
bosokselalu,busuk selalu
lemotemang,lemot memang
pertahun,per tahun
bili,beli
hartonosetelah,hartono setelah
sayaelculer,saya elculer
berfungi,berfungsi
baiksetelah,baik setelah
tangug,tanggung
jwbmalah,jawab malah
disuru,disuruh
hartonoko,hartono kok
tahunini,tahun ini
br,baru
berfungsjd,berfungsi jadi
ansuransi,asuransi
cm,cuma
abalsaya,abal saya
ngalami,mengalami
sesuoi,sesuai
plywod,plywood
terbarutolong,terbaru tolong
bisabisanya,bisa-bisanya
dijakarta,di jakarta
oce,oke
lemottitik,lemot titik
unutuk,untuk
padah,padahal
gogjob,good job
perbahatui,perbarui
mapsoke,maps oke
menyeluruhdi,menyeluruh di
itukan,itu kan
lamamasa,lama masa
story,cerita
heals,sembuh
salu,selalu
banyaksemangat,banyak semangat
apliasi,aplikasi
lumaya,lumayan
aplikas,aplikasi
spofing,spoofing
dapetyn,dapetin
amyien,amin
bekerjaj,bekerja
kotraktor,kontraktor
sekola,sekolah
sapingan,sampingan
lmot,lemot
doesnt,tidak
know,tahu
placesthis,tempat ini
often,sering
distances,jarak
relaxsuch,santai seperti
vacation,liburan
spots,titik
jalankarena,jalan karena
pitur,fitur
kemnain,kemarin
copy,salin
manamaps,mana maps
alikasinya,aplikasinya
mulaikan,mulai kan
eroran,error-an
mendeskripsi,mendeskripsikan
scrotomatis,secara otomatis
hamble,rendah hati
menguntungkanapalagi,menguntungkan apalagi
menaikan,menaikkan
updatemasih,update masih
adamasa,ada masa
mobillewat,mobil lewat
celeh,jelek
kerjaq,kerjaku
anjeng,anjing
titiknyasering,titiknya sering
utangwkwkwk,utang (tertawa)
ujan,hujan
ganguanparah,gangguan parah
ilangan,hilangan
arahmya,arahnya
kendara,kendaraan
bwrhenti,berhenti
oktempat,oke tempat
punyakublas,punyaku sama sekali
rendahtolong,rendah tolong
ngekres,crash
bertahuntahun,bertahun-tahun
voice,suara
sasarankurang,sasaran kurang
mapspaling,maps paling
mapsbikin,maps bikin
realmie,realme
lamacman,lama cuma
bisapdahal,bisa padahal
lohdgn,loh dengan
rest,istirahat
peaceling,peace link
gangikutin,tidak mengikuti
lemotpeta,lemot peta
akurattanda,akurat tanda
ketingalanbagaimana,ketinggalan bagaimana
perbaikimap,perbaiki map
ngaur,ngaco
nembanty,membantu
diakurasi,di akurasi
apkniat,aplikasi niat
nyasarmotor,nyasar motor
jalanpersimpangan,jalan persimpangan
shg,sehingga
ngih,iya
amien,amin
suda,sudah
terzom,ter-zoom
gtw,tidak tahu
kyak,kayak
aktifcuman,aktif cuma
aga,agak
akuratmakin,akurat makin
seupdate,se-update
mutarin,memutarkan
nerobos,menerobos
nyatitik,nya titik
blonnyebelin,belum menyebalkan
nyalari,mencari
titiknyamohon,titiknya mohon
aqu,aku
wort,worth
strastegis,strategis
waow,wow
langsungtitik,langsung titik
ngelaggakbisa,lag tidak bisa
melangar,melanggar
emptan,empatan
card,kartu
ngacomilih,ngaco memilih
jauhnyusahin,jauh menyusahkan
mapklo,map kalau
perbodenbikin,verboden bikin
nonon,nonton
yan,yang
bags,bagus
oktapi,oke tapi
elek,jelek
koyo,seperti
telek,tahi
jalansukses,jalan sukses
dbenahitrims,dibenahi terima kasih
gelapin,gelapkan
hitamin,hitamkan
terusbikin,terus bikin
inidisediakan,ini disediakan
ekpedisi,ekspedisi
niagapengangkut,niaga pengangkut
disebagian,di sebagian
honest,jujur
advice,nasihat
lock,kunci
helped,membantu
chose,memilih
apropriate,sesuai
neighborhod,lingkungan
without,tanpa
overspending,boros
unecesary,tidak perlu
basicaly,dasarnya
akuratga,akurat tidak
akuram,akurat
ksi,kasih
pokonya,pokoknya
ciptain,ciptakan
benerrute,benar rute
mapada,map ada
gokilgacor,gila hebat
bisahanya,bisa hanya
liminasa,linimasa
ngestak,stuck
tingitolong,tinggi tolong
lumayanlahsampai,lumayanlah sampai
trimakasi,terima kasih
pernh,pernah
ngebab,nge-bug
bajungan,bajingan
koe,kamu
daduke,dadaku
terdekan,terdekat
lik,suka
ge,saja
kenak,kena
terdeksicontoh,terdeteksi contoh
delainya,delay-nya
benerlah,benarlah
sdkit,sedikit
membantumkasih,membantu terima kasih
muktahir,mutakhir
salamunalaikum,assalamualaikum
bimashobartum,bima shobartum
lemayan,lumayan
ngacoorang,ngaco orang
health,kesehatan
screning,skrining
routine,rutin
here,di sini
early,awal
identification,identifikasi
treatment,pengobatan
depresion,depresi
anxiety,kecemasan
improves,meningkatkan
outcomes,hasil
tingimarker,tinggi marker
samsungtolong,samsung tolong
langanan,langganan
membatalkanya,membatalkannya
baguz,bagus
fugus,fokus
nei,ini
mamantap,mantap
heror,error
diriwayatnya,di riwayatnya
ganglebih,gang lebih
petunjuknyasering,petunjuknya sering
kebanyakankeseringan,kebanyakan keseringan
terusterima,terus terima
batrey,baterai
tersendatsendat,tersendat-sendat
walopun,walaupun
petanyaputih,petanya putih
mncari,mencari
diperkukn,diperlukan
gausah,tidak usah
servise,servis
cucikipas,cuci kipas
anginmegicomsetrikakompor,angin magiccom setrika kompor
gasdl,gas dll
lahi,lagi
au,aku
tengkyu,terima kasih
experience,pengalaman
tour,wisata
yutube,youtube
bagusbisa,bagus bisa
kadangtidak,kadang tidak
lokasikacau,lokasi kacau
bisakasik,bisa kasih
bales,balas
lainbiar,lain biar
ex,mantan
omongkan,bicarakan
bingits,banget
excelen,bagus sekali
orderanya,orderannya
rutenta,rutenya
jamesnya,james-nya
ramahcareful,ramah hati-hati
nyesal,menyesal
kesinj,ke sini
bt,bete
jalansebdiri,jalan sendiri
meleng,lengah
meningal,meninggal
dip,di
pembaruanbenerin,pembaruan perbaiki
kwalitas,kualitas
menyesat,menyesatkan
nyerong,menyerong
propinsi,provinsi
gogrl,google
memahamiya,memahaminya
teriakasi,terima kasih
yagk,yang tidak
sinya,sinyal
hilangadakah,hilang adakah
gaguna,tidak berguna
reasonable,masuk akal
prices,harga
dirumah,di rumah
terburukgw,terburuk saya
mapsselalu,maps selalu
kale,kali
amu,kamu
trouble,masalah
nda,tidak
sesalu,selalu
disetiap,di setiap
membutuhkanyan,membutuhkannya
sukatingkatkan,suka tingkatkan
makacih,terima kasih
memhantu,membantu
asik,asyik
bahat,banget
csindodax,cs indodax
bantuanoioss,bantuan ios
pinginya,inginnya
bossupaya,bos supaya
aktifin,aktifkan
muhamariy,muhamadiyah
tea,teh
bngst,bangsat
lemotmasa,lemot masa
kala,kalah
pegimanah,bagaimana
nafkahsesuap,nafkah sesuap
jugaayolah,juga ayolah
persulitsaya,persulit saya
ska,suka
tempatlokasi,tempat lokasi
jelak,jelek
sekaeang,sekarang
nyasartolong,nyasar tolong
banyk,banyak
komplen,komplain
twrimaksih,terima kasih
ditangapi,ditanggapi
nembantu,membantu
jlas,jelas
smga,semoga
lakujan,lakukan
persawahantolong,persawahan tolong
lagitrims,lagi terima kasih
mengunakn,menggunakan
aktifasi,aktivasi
nguasai,menguasai
perjlnan,perjalanan
reliable,andal
gives,memberikan
conditions,kondisi
daily,harian
soresaya,sore saya
pengunakemarin,pengguna kemarin
tengelam,tenggelam
begiru,begitu
swtiap,setiap
ufgrade,upgrade
rutelokasi,rute lokasi
perencanan,perencanaan
imi,ini
petunkuk,petunjuk
nam,nama
gmapsnya,gmaps-nya
baikakurat,baik akurat
qu,aku
percoban,percobaan
pelayanya,pelayannya
istimasi,estimasi
sajamksh,saja terima kasih
infor,informasi
simpanganbeberapa,simpangan beberapa
ngikut,mengikuti
sempurns,sempurna
menc,mencari
satisfied,puas
much,banyak
mapsmya,maps-nya
makah,maka
pengaturanya,pengaturannya
jelekmasih,jelek masih
iokasi,lokasi
bagusmembantu,bagus membantu
yasetiap,ya setiap
hugs,pelukan
mn,mana
luwarjawa,luar jawa
jalangang,jalan gang
melengseng,melenceng
pelangaran,pelanggaran
center,pusat
berubahubah,berubah-ubah
before,sebelum
diperbaikin,diperbaiki
tlat,telat
myusuf,m yusuf
sekalai,sekali
updatejlntutup,update jalan tutup
masihtrus,masih terus
orientasikompas,orientasi kompas
napigasi,navigasi
loc,lokasi
baikbaik,baik-baik
banyaki,banyak
camera,kamera
mobile,seluler
th,tahun
msk,masuk
okmohon,oke mohon
gendenglokasi,gila lokasi
bangetsaya,banget saya
hadehtolong,haduh tolong
nyaterimakasih,nya terima kasih
poto,foto
ys,ya
company,perusahaan
fantastic,fantastis
understand,paham
neds,kebutuhan
delivered,terkirim
exactly,tepat
hoping,berharap
responsive,responsif
work,kerja
lagisebelum,lagi sebelum
muterga,berputar tidak
amaging,luar biasa
bng,bang
kenapako,kenapa kok
versidan,versi dan
pembaruanmalah,pembaruan malah
mapnyadan,map-nya dan
perjalanannavigasidan,perjalanan navigasi dan
mapnyatidak,map-nya tidak
bergeraktolong,bergerak tolong
terhormadperbaiki,terhormat perbaiki
bergerakaneh,bergerak aneh
pencarianatau,pencarian atau
didepan,di depan
baratthanks,barat terima kasih
yutubbet,youtube banget
realtimenavigasi,real-time navigasi
blanja,belanja
kontl,kontol
kasasar,tersesat
nysarken,menyesatkan
easier,lebih mudah
destination,tujuan
bagusbg,bagus bang
bagusa,bagusnya
petujuk,petunjuk
jorokumpatan,jorok umpatan
donlod,download
setau,setahu
mksih,terima kasih
dgumakanx,digunakannya
mimilih,memilih
bagussangat,bagus sangat
kga,tidak
semogq,semoga
mqkin,makin
trangalek,trenggalek
uptdate,update
trengalek,trenggalek
spedometer,spidometer
motormobil,motor mobil
setabil,stabil
erorawalnya,error awalnya
kekiripas,ke kiri pas
kananjujur,kanan jujur
tinginya,tingginya
fres,segar
bosenin,membosankan
trukmobil,truk mobil
pribadipenumpang,pribadi penumpang
updetmengangu,update mengganggu
efiesiensi,efisiensi
kebanyaka,kebanyakan
lumyan,lumayan
erorke,error ke
putartidak,putar tidak
perhatikantrima,perhatikan terima
kemanu,kemana
menyenangkandan,menyenangkan dan
inikarena,ini karena
besarkarena,besar karena
bagaimna,bagaimana
ditolakterus,ditolak terus
masuka,masukan
perjalananmantap,perjalanan mantap
mantaptolong,mantap tolong
perbaruhi,perbarui
schedule,jadwal
inacurate,tidak akurat
such,seperti
where,di mana
serve,melayani
intercity,antarkota
given,diberikan
confusing,membingungkan
path,jalur
unfixed,tidak tetap
maybe,mungkin
case,kasus
had,punya
stars,bintang
bagussemoga,bagus semoga
bermanfatuntuk,bermanfaat untuk
barokahamin,berkah amin
titk,titik
sayathaks,saya terima kasih
akuras,akurasi
perjalananm,perjalananmu
apnya,ap-nya
oiy,oh iya
peruntukanya,peruntukannya
qo,kok
yasama,ya sama
updatemakin,update makin
yaagar,ya agar
bereti,berarti
lamlu,lampu
yangbpaling,yang paling
dank,terima kasih
nyampek,sampai
hafalin,hafalkan
ngomongnya,bicaranya
kukurilingan,berputar-putar
turutin,turuti
parahj,parah
tempattempat,tempat-tempat
jembud,jembut
nulis,menulis
sepeserpun,sepeser pun
itupun,itu pun
kalin,kalian
masterpiece,karya agung
cpt,cepat
valit,valid
raihmalah,raih malah
mutartolong,berputar tolong
perbaikititik,perbaiki titik
sesuainanti,sesuai nanti
brarti,berarti
hny,hanya
prlu,perlu
nmbahin,menambahkan
spedamotor,sepeda motor
kesasaehugf,kesasar
ordal,orang dalam
ngadelin,mengandalkan
merekomen,merekomendasikan
mntaf,mantap
rejeki,rezeki
hot,panas
akuratsuka,akurat suka
audiences,penonton
worldwide,seluruh dunia
ngantar,mengantar
mardeka,merdeka
ginisaya,begini saya
keljalur,ke jalur
ngebuk,nge-bug
mnantang,menantang
seruh,seru
akuratberikut,akurat berikut
bisnispadahal,bisnis padahal
disi,di sini
akurattetapi,akurat tetapi
gagaltolong,gagal tolong
gacorin,buat laris
multitasking,multitugas
perubahana,perubahan
menyeseatkan,menyesatkan
asutolonglah,anjing tolonglah
ajajgn,saja jangan
auzubilah,audzubillah
bangetyg,banget yang
sanakan,laksanakan
dulutak,dulu tak
seklali,sekali
tingisinyal,tinggi sinyal
peruntukantapi,peruntukan tapi
buntutolong,buntu tolong
agpsglonas,agps glonass
beidouqzssbas,beidou qzss sbas
lempt,lemot
