kata_tidak_baku,kata_baku
lewatin,lewati
nampak,tampak
sharelok,bagikan lokasi
sherlok,bagikan lokasi
why,kenapa
blum,belum
trims,terima kasih
gmn,bagaimana
can,bisa
seringkali,sering kali
tlg,tolong
bang,abang
store,toko
puterin,putar
lol,lucu
new,baru
sma,sama
stiap,setiap
force,paksa
keberadan,keberadaan
super,sangat
restart,mulai ulang
jadul,lama
fix,perbaiki
make,pakai
akuratan,keakuratan
markotop,mantap
beres,selesai
menerus,terus-menerus
prank,lelucon
kasian,kasihan
mantep,mantap
temen,teman
realy,sungguh
mushola,musala
kelewatan,keterlaluan
pke,pakai
alhasil,hasilnya
loadingnya,pemuatannya
places,tempat
rada,agak
bot,robot
nearby,sekitar
now,sekarang
pakek,pakai
ruwet,rumit
tu,itu
kerjan,pekerjaan
skali,sekali
mksh,terima kasih
keadan,keadaan
trmksh,terima kasih
crash,galat
bnr,benar
jaln,jalan
jlan,jalan
beter,lebih baik
ditengah,di tengah
sayah,saya
mudahan,semoga
sngat,sangat
ja,saja
route,rute
lawas,lama
jengkel,kesal
byk,banyak
bolak,bolak-balik
tujuanya,tujuannya
bner,benar
asw,anjing
login,masuk
yng,yang
hape,ponsel
benarbenar,benar-benar
gmap,google maps
nungu,menunggu
nanya,tanya
hacker,peretas
stuck,berhenti
komplek,kompleks
ksini,ke sini
balikin,kembalikan
bro,bung
tangal,tanggal
dsb,dan sebagainya
yez,ya
stak,berhenti
bosok,busuk
dilewatin,dilewati
upload,unggah
ingris,inggris
ajg,anjing
bnyak,banyak
overal,keseluruhan
gmna,bagaimana
jga,juga
nh,nih
cache,tembolok
skrang,sekarang
smpe,sampai
rumahku,rumah saya
gog,google
ngacak,acak
meps,peta
blom,belum
gamau,tidak mau
rapih,rapi
play,putar
disasarin,disesatkan
cakep,bagus
kyk,seperti
apan,apa
your,punyamu
donk,dong
ngomong,bicara
tibatiba,tiba-tiba
hpnya,ponselnya
lbih,lebih
developer,pengembang
pengunanya,penggunanya
china,cina
thanks,terima kasih
got,dapat
customer,pelanggan
bawan,bawaan
teros,terus
lo,kamu
with,dengan
ngarahinya,mengarahkan
mbah,kakek
guys,teman-teman
ama,sama
serlok,bagikan lokasi
bismilah,bismillah
mk,maka
one,satu
tlong,tolong
viewnya,tampilannya
kesusahan,kesulitan
simpel,sederhana
whatsap,whatsapp
tks,terima kasih
berpindahpindah,berpindah-pindah
cape,lelah
sperti,seperti
tergangu,terganggu
emg,memang
munculin,munculkan
features,fitur
skarang,sekarang
okelah,oke
kebaca,terbaca
komplit,lengkap
mantaps,mantap
traveling,perjalanan
muantap,mantap
berjam,berjam-jam
they,mereka
bet,sangat
okay,oke
bermamfat,bermanfaat
updatenya,pembaruannya
dapet,dapat
bakal,akan
ud,sudah
klw,kalau
ngasal,asal
sl,sama-sama
tangapan,tanggapan
mengunakanya,menggunakannya
gapernah,tidak pernah
kelaman,kelamaan
apknya,aplikasinya
delivery,pengiriman
narik,mencari penumpang
bandung,Bandung
bye,selamat tinggal
mal,mall
rmh,rumah
simple,sederhana
atu,satu
kg,kilogram
jir,anjir
ampas,buruk
have,punya
year,tahun
handphone,telepon genggam
dirubah,diubah
leg,lambat
t,tanda
kebalik,terbalik
icon,ikon
hr,hari
ndak,tidak
didalam,di dalam
ma,sama
september,September
berpergian,bepergian
fake,palsu
klau,kalau
korea,Korea
perhatianya,perhatiannya
infonya,informasinya
cirebon,Cirebon
kren,keren
provider,penyedia
prime,utama
ndk,tidak
wrong,salah
sebrang,seberang
brp,berapa
transport,transportasi
milih,memilih
tia,setiap
capek,lelah
posting,unggah
merubah,mengubah
menbantu,membantu
puyeng,pusing
as,sebagai
bagusin,perbaiki
sharelock,bagikan lokasi
jngn,jangan
kesitu,ke situ
kecelakan,kecelakaan
gt,begitu
mkn,makan
tambahin,tambahkan
kadng,kadang
plosok,pelosok
pol,sekali
rw,rukun warga
perkiran,perkiraan
ae,saja
anying,anjing
more,lebih
position,posisi
diluar,di luar
tunjukin,tunjukkan
ngambil,mengambil
level,tingkat
dimna,di mana
turunin,turunkan
pkai,pakai
their,mereka
home,beranda
tmpt,tempat
perfect,sempurna
maksa,memaksa
blur,kabur
pokoke,pokoknya
dkt,dekat
perjalananya,perjalanannya
masukin,masukkan
baret,gores
sanget,sangat
cafe,kafe
berasa,terasa
poko,pokok
gunain,gunakan
telkomsel,Telkomsel
akhirakhir,akhir-akhir
kebablasan,terlewat
mumet,pusing
thn,tahun
nyh,nya
gb,gigabyte
ijin,izin
kebawah,ke bawah
keatas,ke atas
kingdom,kerajaan
nomer,nomor
malem,malam
krna,karena
nyebrang,menyeberang
device,perangkat
gag,tidak
amazing,luar biasa
bg,bang
ketujuan,ke tujuan
wes,sudah
nipu,menipu
belom,belum
bagusan,lebih bagus
masp,maps
moga,semoga
ngeselin,menyebalkan
aje,saja
tenan,sekali
dalan,jalan
bagud,bagus
kesana,ke sana
seneng,senang
disana,di sana
link,tautan
goglemap,Google Maps
dear,halo
car,mobil
are,adalah
memudah,memudahkan
dh,sudah
trima,terima
mapa,maps
makananya,makanannya
pisan,sekali
sangan,sangat
redmi,Redmi
note,catatan
tdak,tidak
tertingal,tertinggal
place,tempat
spot,titik
oky,oke
berenti,berhenti
gegara,gara-gara
tgl,tanggal
kentang,spesifikasi rendah
sampek,sampai
help,bantu
sangant,sangat
jaman,zaman
muluk,terus
mala,malah
ajah,saja
ng,enggak
helps,membantu
travel,wisata
long,lama
luck,keberuntungan
dech,deh
sdah,sudah
ride,kendara
bobrok,rusak
kenceng,kencang
diputer,diputar
sangt,sangat
acount,akun
skli,sekali
easily,mudah
bekasi,Bekasi
